Title,Discipline1,Discipline2,More
Acta Poloniae Historica,Historia i archiwistyka,,
Acta Polono-Ruthenica,Językoznawstwo,Literaturoznawstwo,
Acta Pomerania,Administracja,Pedagogika,Polityka Społeczna
Acta Scientiarum Polonorum. Administratio Locorum,Gospodarka i planowanie,,
Acta Scientiarum Polonorum. Agricultura,Rolnictwo,,
Acta Scientiarum Polonorum. Biologia,Biologia,,
Acta Scientiarum Polonorum. Hortorum Cultus,Ogrodnictwo i sadownictwo,,
Acta Scientiarum Polonorum. Oeconomia,Ekonomia,Rolnictwo,
Acta Scientiarum Polonorum. Piscaria,Rybołówstwo i rybactwo,,
Acta Societatis Botanicorum Poloniae,Botanika,,
Acta Sueco-Polonica,Filologia,,
Acta Universitatis Lodziensis. Folia Archaeologica,Archeologia,,
Acta Universitatis Lodziensis. Folia Biologica et Oecologica,Biologia,Ekologia,
Acta Universitatis Lodziensis. Folia Geographica Physica,Geografia,,
Acta Universitatis Lodziensis. Folia Geographica Socio-Oeconomica,Ekonomia,Geografia,
Acta Universitatis Lodziensis. Folia Germanica,Językoznawstwo,Literaturoznawstwo,
Acta Universitatis Lodziensis. Folia Historica,Historia i archiwistyka,,
Acta Universitatis Lodziensis. Folia Iuridica,Prawo,,
Acta Universitatis Lodziensis. Folia Librorum,Bibliotekoznawstwo i informacja naukowa,,
Acta Universitatis Lodziensis. Folia Linguistica,Językoznawstwo,,
Acta Universitatis Lodziensis. Folia Linguistica Rossica,Językoznawstwo,,
Acta Universitatis Lodziensis. Folia Litteraria Polonica,Literaturoznawstwo,,
Acta Universitatis Lodziensis. Folia Litteraria Romanica,Filologia,,
Acta Universitatis Lodziensis. Folia Litteraria Rossica,Literaturoznawstwo,,
Acta Universitatis Lodziensis. Folia Mathematica,Matematyka,,
Acta Universitatis Lodziensis. Folia Oeconomica,Ekonomia,,
Acta Universitatis Lodziensis. Folia Psychologica,Psychologia,,
Acta Universitatis Lodziensis. Folia Sociologica,Socjologia,,
Acta Universitatis Wratislaviensis. Prawo,Prawo,,
Acta Universitatis Wratislaviensis. Slavica Wratislaviensia,Filologia,,
Acta Zoologica Cracoviensia,Zoologia,,
Ad Americam. Journal of American Studies,Filologia,,
"Administracja. Teoria, Dydaktyka, Praktyka",Administracja,,
Administrator,Nieruchomości,,
ADR. Arbitraż i Mediacja,Prawo,,
Advances in Clinical and Experimental Medicine,Medycyna,,
Advances in Medical Sciences,Medycyna,,
Advances in Palliative Medicine,Medycyna,,
Advances in Science and Technology. Research Journal,Budowa maszyn,Informatyka,Nauka
Afryka,Geografia,Kulturoznawstwo,
Akapit. Rocznik Towarzystwa Bibliofilów Polskich w Warszawie,Bibliotekoznawstwo i informacja naukowa,Filologia,
Akcent,Filologia,,
Alkoholizm i Narkomania,Uzależnienia,,
Alma Mater,Nauka,,
Almanach Historyczny,Historia i archiwistyka,,
Analecta Cracoviensia,Filozofia,Reliogioznawstwa i teologia,
Analecta. Studia i Materiały z Dziejów Nauki,Historia i archiwistyka,Nauka,
Analityka,Chemia,,
Anamnesis,Reliogioznawstwa i teologia,,
Anglica. An International Journal of English Studies,Językoznawstwo,,
Animacja Życia Publicznego,Administracja,,
Animal Science Papers and Reports,Zoologia,,
Annales Academiae Medicae Gedanensis,Medycyna,,
Annales Academiae Medicae Silesiensis,Medycyna,,
Annales Academiae Paedagogicae Cracoviensis. Studia Zoologica,Zoologia,,
Annales Neophilologiarum,Filologia,Kulturoznawstwo,
Annales Polonici Mathematici,Matematyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio A. Mathematica,Matematyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AA.Chemia,Chemia,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AAA. Physica,Fizyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio AI. Informatica,Informatyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio C. Biologia,Biologia,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio D. Medicina,Medycyna,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio E. Agricultura,Rolnictwo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio EE. Zootechnica,Zootechnika,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio EEE. Horticultura,Ogrodnictwo i sadownictwo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio F. Historia,Historia i archiwistyka,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio FF. Philologiae,Filologia,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio G. Ius,Prawo,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio H. Oeconomia,Ekonomia,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio K. Politologia,Nauki polityczne,,
Annales Universitatis Mariae Curie-Skłodowska. Sectio L. Artes,Sztuka,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Anglica,Filologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia de Cultura,Kulturoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Geographica,Geografia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Linguistica,Językoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Logopaedica,Logopedia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Mathematica,Matematyka,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Paedagogica,Pedagogika,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Philosophica,Filozofia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Poetica,Filologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Politologica,Nauki polityczne,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Psychologica,Psychologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Romanica,Filologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Russologica,Językoznawstwo,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Sociologica,Socjologia,,
Annales Universitatis Paedagogicae Cracoviensis. Studia Technica,Nauki techniczne,,
Annales Zoologici,Zoologia,,
Annales. Etyka w Życiu Gospodarczym,Ekonomia,Etyka,"Kulturoznawstwo, Nauki polityczne, Prawo"
Annals of Agricultural and Environmental Medicine,Medycyna,Ochrona środowiska,Rolnictwo
Annals of Animal Science,Zoologia,,
Annals of Marketing Management & Economics,Ekonomia,Marketing,
Annals of Parasitology,Medycyna,,
Annals of Warsaw University of Life Sciences - SGGW. Agriculture,Rolnictwo,,
Annual Report,Nauka,,
Anthropological Review,Biologia,,
Anthropos?,Antropologia kulturowa,Filozofia,
Aparatura Badawcza i Dydaktyczna,Chemia,Technologia żywności i żywienia,
Applicationes Mathematicae,Matematyka,,
Arcana,Historia i archiwistyka,Kulturoznawstwo,
Arcana GIS,Geodezja,,
ARCH,Architektura,,
Archaeologia Historica Polona,Archeologia,,
Archaeologia Polona,Archeologia,,
Archeion,Historia i archiwistyka,,
Archeologia,Archeologia,,
Archeologia Polski,Archeologia,,
Archeologia Żywa,Archeologia,,
Archeus. Studia z Bioetyki i Antropologii Filozoficznej,Etyka,Filozofia,
Architecturae et Artibus,Architektura,,
Architecture Civil Engineering Environment,Architektura,Inżynieria środowiska,
Architectus,Architektura,,
Architekt,Architektura,,
Archives of Budo,Kultura fizyczna i sport,,
Archives of Foundry Engineering,Hutnictwo i metalurgia,,
Archives of Polish Fisheries,Rybołówstwo i rybactwo,,
Archives of Transport,Transport,,
Archivolta,Architektura,,
Archivum Immunologiae et Therapiae Experimentalis,Immunologia,Medycyna,
"Archiwa, Biblioteki i Muzea Kościelne",Bibliotekoznawstwo i informacja naukowa,Historia i archiwistyka,Reliogioznawstwa i teologia
Archiwista Polski,Historia i archiwistyka,,
"Archiwum Emigracji. Studia, Szkice, Dokumenty",Filologia,,
Archiwum Filozofii Prawa i Filozofii Społecznej,Filozofia,Prawo,
"Archiwum Fotogrametrii, Kartografii i Teledetekcji",Geodezja,,
Archiwum Historii Filozofii i Myśli Społecznej,Filozofia,,
Archiwum Historii i Filozofii Medycyny,Medycyna,,
Archiwum Kryminologii,Prawo,,
Archiwum Medycyny Sądowej i Kryminologii,Medycyna sądowa,Prawo,
Argumenta Oeconomica,Ekonomia,,
Ars Regia,Historia i archiwistyka,,
Ars Separatoria Acta,Chemia,Przemysł chemiczny,
Art of the Orient,Sztuka,,
Artes Liberales,Historia i archiwistyka,Pedagogika,
Artifex,Sztuka,,
Artificial Satellites,Astronomia,,
Artium Quaestiones,Sztuka,,
Artluk,Sztuka,,
As-Salam,Kulturoznawstwo,Reliogioznawstwa i teologia,
Ateneum,Filologia,Historia i archiwistyka,
Ateneum Kapłańskie,Reliogioznawstwa i teologia,,
Aura,Ochrona środowiska,,
Autoportret,Architektura,Kulturoznawstwo,
Azja - Pacyfik,Socjologia,Stosunki międzynarodowe,
Baltic Coastal Zone,Ekologia,,
Baltic Journal of Coleopterology,Zoologia,,
Baltic Journal of Health and Physical Activity,Kultura fizyczna i sport,,
Banach Center Publications,Matematyka,,
Bank i Kredyt,Finanse,,
Bank. Miesięcznik Finansowy,Finanse,,
Barok,Literaturoznawstwo,,
Barometr Regionalny,Administracja,Organizacja i zarządzanie,
Bezpieczeństwo Pracy. Nauka i Praktyka,BHP,,
Bezpieczny Bank,Finanse,,
Białoruskie Zeszyty Historyczne,Historia i archiwistyka,,
Białostocczyzna,Historia i archiwistyka,Kulturoznawstwo,
Białostockie Archiwum Językowe,Językoznawstwo,,
Białostockie Studia Prawnicze,Prawo,,
Biblica et Patristica Thoruniensia,Reliogioznawstwa i teologia,,
"Biblical Annals, The",Reliogioznawstwa i teologia,,
Biblioteka,Bibliotekoznawstwo i informacja naukowa,Bibliotekoznawstwo i informacja naukowa,Pedagogika
Biblioteka w Szkole,Bibliotekoznawstwo i informacja naukowa,,
Biblioteka Współczesnej Myśli Pedagogicznej,Pedagogika,,
Bibliotekarz,Bibliotekoznawstwo i informacja naukowa,,
Bibliotekarz Podlaski,Bibliotekoznawstwo i informacja naukowa,,
Biblioterapeuta,Bibliotekoznawstwo i informacja naukowa,Diagnostyka,
Bio-Algorithms and Med-Systems,Biologia,Medycyna,
Biocybernetics and Biomedical Engineering,Inżynieria,Medycyna,
Biodiversity Research and Conservation,Botanika,,
Biologia w Szkole z Przyrodą,Biologia,Pedagogika,
Biological Letters,Biologia,,
Biuletyn Archiwum Polskiej Akademii Nauk,Historia i archiwistyka,,
Biuletyn Bankowego Funduszu Gwarancyjnego,Finanse,,
Biuletyn Biblioteki Jagiellońskiej,Bibliotekoznawstwo i informacja naukowa,,
Biuletyn EBIB,Bibliotekoznawstwo i informacja naukowa,,
Biuletyn Fundacji Generał Elżbiety Zawackiej,Historia i archiwistyka,,
Biuletyn Historii Pogranicza,Historia i archiwistyka,,
Biuletyn Historii Sztuki,Historia i archiwistyka,Sztuka,
Biuletyn Historii Wychowania,Pedagogika,,
Biuletyn Historyczny,Historia i archiwistyka,,
Biuletyn Informacyjny Biblioteki Narodowej,Bibliotekoznawstwo i informacja naukowa,,
Biuletyn Informacyjny ITS,Transport,,
Biuletyn Informacyjny Konserwatorów Dzieł Sztuki,Sztuka,,
Biuletyn Komitetu Przestrzennego Zagospodarowania Kraju PAN,Geografia,,
Biuletyn Konserwatorski Województwa Podlaskiego,Sztuka,,
Biuletyn Kwartalny Radomskiego Towarzystwa Naukowego,Historia i archiwistyka,Kulturoznawstwo,
Biuletyn Naukowy UWM,Rolnictwo,,
Biuletyn Numizmatyczny,Historia i archiwistyka,,
Biuletyn Ormiańskiego Towarzystwa Kulturalnego,Kulturoznawstwo,,
Biuletyn Państwowego Instytutu Geologicznego,Geologia,,
Biuletyn Polonistyczny,Literaturoznawstwo,,
Biuletyn Polskiego Stowarzyszenia Wodoru i Ogniw Paliwowych,Energetyka,,
Biuletyn Polskiego Towarzystwa Ekonomicznego,Ekonomia,,
Biuletyn Polskiego Towarzystwa Językoznawczego,Językoznawstwo,,
Biuletyn Polskiej Misji Historycznej,Historia i archiwistyka,,
Biuletyn Prawny,Prawo,,
Biuletyn Uniejowski,Geografia,Historia i archiwistyka,
Biuletyn Urzędu Patentowego,Prawo,,
Biuletyn Wojskowej Akademii Technicznej,Wojskowość i policja,,
Bliżej Przedszkola,Pedagogika,,
Bohemistyka,Językoznawstwo,,
Borussia,Historia i archiwistyka,Kulturoznawstwo,
Bromatologia iChemia Toksykologiczna,Farmacja,Toksykologia,
Budownictwo i Architektura,Architektura,Budownictwo,
Bulletin of Geography. Physical Geography Series,Geografia,,
Bulletin of Geography. Socio-Economic Series,Ekonomia,Geografia,
Bulletin of the Polish Academy of Sciences. Mathematics,Matematyka,,
Bulletin of the Section of Logic,Logika,,
Casus,Prawo,,
Cellular and Molecular Biology Letters,Biochemia,Biologia,
"Cenne, Bezcenne, Utracone",Muzealnictwo,,
Central European Journal of Economic Modelling and Econometrics,Ekonomia,Finanse,
Central European Journal of Urology,Medycyna,Urologia,
CEO. Magazyn Kadry Zarządzającej,Organizacja i zarządzanie,,
Chemia Analityczna,Chemia,,
Chemia Przemysłowa,Przemysł chemiczny,,
Chemia w Szkole,Chemia,Pedagogika,
"Chemia, Dydaktyka, Ekologia, Metrologia",Chemia,Ekologia,Pedagogika
Chemical and Process Engineering,Przemysł chemiczny,,
Chemical Review,Przemysł chemiczny,,
Chłodnictwo,Chłodnictwo i pneumatyka,,
Chowanna,Pedagogika,,
Chrońmy Przyrodę Ojczystą,Ochrona środowiska,,
Cieszyński Almanach Pedagogiczny,Pedagogika,,
Civitas. Studia z Filozofii Polityki,Filozofia,Nauki polityczne,
Classica Cracoviensia,Kulturoznawstwo,Literaturoznawstwo,
Collectanea Philologica,Filologia,,
Collectanea Theologica,Reliogioznawstwa i teologia,,
Colloquia Communia,Filozofia,Socjologia,
Colloquia Humanistica,Filologia,,
Colloquia Theologica Ottoniana,Filozofia,Reliogioznawstwa i teologia,
Colloquium,Filologia,Filozofia,"Historia i archiwistyka, Nauki polityczne, Psychologia"
Colloquium Mathematicum,Matematyka,,
Comparative Economic Research,Ekonomia,,
Comparative Law Review,Prawo,,
Comparative Legilinguistics,Językoznawstwo,,
Computational Methods in Science and Technology,Fizyka,Informatyka,
Computer Applications in Electrical Engineering,Elektrotechnika,Informatyka,Inżynieria
Computer Science,Informatyka,,
Control and Cybernetics,Cybernetyka,,
Controlling,Finanse,,
Controlling i Rachunkowość Zarządcza,Rachunkowość,,
Convivium. Germanistisches Jahrbuch Polen,Filologia,,
Copernican Letters,Nauki przyrodnicze,,
"Copernicus Journal of Political Studies, The",Nauki polityczne,,
Cosmetology Today,Medycyna estetyczna i kosmetologia,,
Current Issues in Pharmacy and Medical Sciences,Farmacja,,
Current Topics in Biophysics,Fizyka,,
Cywilizacja,Socjologia,,
Cywilizacja i Polityka,Nauki polityczne,,
Czas Kultury,Filologia,Filozofia,Kulturoznawstwo
Czasopismo Geograficzne,Geografia,,
Czasopismo Prawa Karnego i Nauk Penalnych,Prawo,,
Czasopismo Prawno-Historyczne,Historia i archiwistyka,Prawo,
Czasopismo Psychologiczne,Psychologia,,
Czasopismo Techniczne,Nauki techniczne,,
Czasopismo Techniczne. Architektura,Architektura,,
Czasopismo Techniczne.Chemia,Chemia,,
Czasy Nowożytne,Historia i archiwistyka,,
Człowiek i Społeczeństwo,Filozofia,Kulturoznawstwo,Socjologia
Człowiek i Środowisko,Geografia,,
Człowiek Niepełnosprawność Społeczeństwo,Nauki o rodzinie,Pedagogika,
Człowiek w Kulturze,Filozofia,Kulturoznawstwo,
Delta,Astronomia,Fizyka,Matematyka
Demonstratio Mathematica,Matematyka,,
Dendrobiology,Botanika,,
Dermatologia Estetyczna,Dermatologia,Medycyna,
Diabetyk,Diabetyka,,
Dialog,Teatr i film,,
Dialogi,Pedagogika,,
Dialogi o Kulturze i Edukacji,Kulturoznawstwo,Pedagogika,
Dialogi Polityczne,Filozofia,Nauki polityczne,
Dialogue and Universalism,Etyka,Filozofia,Socjologia
Didaskalia,Teatr i film,,
Dipteron,Zoologia,,
"Discussiones Mathematicae. Differential Inclusions, Control and Optimization",Matematyka,,
Disputatio,Nauki polityczne,,
Doctrina. Studia Społeczno-Polityczne,Nauki polityczne,,
Doradca Podatnika,Podatki,,
Drwal,Leśnictwo,,
Duchowość w Polsce,Reliogioznawstwa i teologia,,
Dynamic Econometric Models,Ekonomia,Matematyka,
Dyrektor Szkoły,Pedagogika,,
Dyskursy Młodych Andragogów,Pedagogika,,
Dziecko Krzywdzone,Nauki o rodzinie,Pedagogika,Psychologia
Dzieje Najnowsze,Historia i archiwistyka,,
Dzikie Życie,Ekologia,Ochrona środowiska,
Eastern European Countryside,Socjologia,,
Eastern Review,Nauki polityczne,Socjologia,
Ecclesia. Studia z Dziejów Wielkopolski,Reliogioznawstwa i teologia,,
Echa Przeszłości,Historia i archiwistyka,,
Ecohydrology & Hydrobiology,Ekologia,Hydrobiologia,
Ecological Chemistry and Engineering. A,Chemia,Ekologia,
Ecological Chemistry and Engineering. S,Chemia,Inżynieria,
Ecological Questions,Ekologia,,
Ecomanager,Ochrona środowiska,,
Economic and Environmental Studies,Ekonomia,,
EduAkcja. Magazyn Edukacji Elektronicznej,Pedagogika,,
Edukacja Biologiczna i Środowiskowa,Biologia,Ochrona środowiska,Pedagogika
Edukacja Dorosłych,Pedagogika,,
Edukacja Filozoficzna,Filozofia,,
Edukacja Humanistyczna,Pedagogika,Socjologia,
Edukacja i Dialog,Pedagogika,,
Edukacja Międzykulturowa,Etnologia,Pedagogika,
Edukacja Otwarta,Pedagogika,,
Edukacja Prawnicza,Prawo,,
Edukacja Ustawiczna Dorosłych,Pedagogika,,
"Edukacja, Technika,Informatyka",Informatyka,Nauki techniczne,Pedagogika
e-Finanse,Finanse,,
Ekologia i Technika,Ekologia,Nauki techniczne,
Ekonometria,Ekonomia,,
Ekonomia i Prawo,Ekonomia,Prawo,
Ekonomia i Środowisko,Ekonomia,Ochrona środowiska,
Ekonomia i Zarządzanie,Ekonomia,Organizacja i zarządzanie,
Ekonomia Społeczna,Ekonomia,,
"Ekonomia. Rynek, Gospodarka, Społeczeństwo",Ekonomia,,
Ekonomika i Organizacja Przedsiębiorstwa,Organizacja przedsiębiorstwa,,
Ekonomista,Ekonomia,,
Ekspresje,Filologia,,
Elastomery,Przymysł tworzyw sztucznych,,
Elbląskie Studia Muzealne,Historia i archiwistyka,,
Electronic Journal of Polish Agricultural Universities,Rolnictwo,,
Elpis,Reliogioznawstwa i teologia,,
E-Mentor,Organizacja i zarządzanie,Pedagogika,
Emergency Medical Service,Medycyna,Ratownictwo,
Empowerment,Polityka Społeczna,,
Endokrynologia Polska,Endokrynologia,Fizjologia,Medycyna
Environment Protection Engineering,Inżynieria sanitarna,Ochrona środowiska,
Epi,Medycyna,Neurologia,
Episteme,Filozofia,Reliogioznawstwa i teologia,
e-Politikon,Nauki polityczne,,
Equilibrium,Ekonomia,Finanse,
"Er(r)go. Teoria, Literatura, Kultura",Kulturoznawstwo,Literaturoznawstwo,
e-Scripta Romanica,Filologia,,
Estetyka i Krytyka,Filozofia,,
Ethnologia Polona,Etnologia,,
Ethos,Reliogioznawstwa i teologia,,
Etnografia Polska,Etnologia,,
Etnolingwistyka,Językoznawstwo,,
Etyka,Etyka,,
Europa Regionum,Ekonomia,Stosunki międzynarodowe,
European Spatial Research and Policy,Stosunki międzynarodowe,,
Europejski Przegląd Sądowy,Prawo,,
Evropa,Stosunki międzynarodowe,,
Exit,Sztuka,Teatr i film,
Exlibris,Bibliotekoznawstwo i informacja naukowa,,
Farmacja Polska,Farmacja,,
Farmacja.pro,Farmacja,,
Fasciculi Archaeologiae Historicae,Archeologia,,
Fides. Biuletyn Bibliotek Kościelnych,Bibliotekoznawstwo i informacja naukowa,Reliogioznawstwa i teologia,
Filo-Sofija. Rocznik Komisji Filozofii,Filozofia,,
Filoteknos,Filologia,,
Filozofia Chrześcijańska,Filozofia,Reliogioznawstwa i teologia,
Filozofia i Nauka,Filozofia,Nauka,
Filozofia Nauki,Filozofia,Logika,Nauka
Filozofia Religii,Filozofia,Reliogioznawstwa i teologia,
Finanse,Finanse,,
Finanse i Prawo Finansowe,Ekonomia,Finanse,Prawo
Finanse Komunalne,Finanse,,
Finansowanie Nieruchomości,Finanse,Nieruchomości,
Fiskus,Podatki,Prawo,
Fizjoterapia,Fizjoterapia,,
Fizyka w Szkole,Fizyka,Pedagogika,
Folia Biologica,Biologia,,
Folia Histochemica et Cytobiologica,Biologia,,
Folia Historiae Artium. Seria Nowa,Historia i archiwistyka,Sztuka,
Folia Historica Cracoviensia,Reliogioznawstwa i teologia,,
Folia Horticulturae,Ogrodnictwo i sadownictwo,,
Folia Malacologica,Zoologia,,
Folia Morphologica,Anatomia,Medycyna,
Folia Oeconomica Cracoviensia,Ekonomia,,
Folia Oeconomica Stetinensia,Ekonomia,,
Folia Orientalia,Filologia,,
Folia Praehistorica Posnaniensia,Historia i archiwistyka,,
Folia Scandinavica Posnaniensia,Filologia,,
Folia Toruniensia,Bibliotekoznawstwo i informacja naukowa,,
Folia Turistica,Tyrystyka,,
Fontes Archaeologici Posnanienses,Archeologia,,
Forum Akademickie,Nauka,,
Forum Artis Rhetoricae,Filologia,,
Forum Bibliotek Medycznych,Bibliotekoznawstwo i informacja naukowa,Medycyna,
Forum Filologiczne Ateneum,Filologia,,
Forum Logopedy,Logopedia,,
Forum Logopedyczne,Logopedia,,
Forum Medycyny Rodzinnej,Medycyna,,
Forum Oświatowe,Pedagogika,,
Forum Pedagogiczne,Pedagogika,,
Forum Philosophicum,Filozofia,Reliogioznawstwa i teologia,
Forum Politologiczne,Nauki polityczne,,
Forum Prawnicze,Administracja,Prawo,
Forum Socjologiczne,Socjologia,,
Forum Teologiczne,Reliogioznawstwa i teologia,,
Foton,Fizyka,Pedagogika,
Foundations of Computing and Decision Sciences,Informatyka,,
Fragile,Kulturoznawstwo,Sztuka,
Fragmenta Faunistica,Zoologia,,
Fragmenta Floristica et Geobotanica Polonica,Botanika,,
Fundamenta Informaticae,Informatyka,Matematyka,
Fundamenta Mathematicae,Matematyka,,
Gastroenterologia Polska,Choroby układu trawienia,Medycyna,
"Gaz, Woda i Technika Sanitarna",Inżynieria sanitarna,Przemysł chemiczny,
Gazeta Bankowa,Finanse,Podatki,Ubezpieczenia
Gazeta Cukrownicza,Przemysł spożywczy,,
Gazeta Obserwatora IMGW,Hydrologia,,
Gazeta Prawna,Prawo,,
Gdański Rocznik Ewangelicki,Filozofia,Historia i archiwistyka,Reliogioznawstwa i teologia
Gdańskie Studia Azji Wschodniej,Historia i archiwistyka,Nauki polityczne,
Gdańskie Studia Międzynarodowe,Stosunki międzynarodowe,,
Gdańskie Studia Prawnicze,Prawo,,
Gdyński Kwartalnik Oświatowy,Pedagogika,,
Geochronometria,Geodezja,Geologia,
Geodeta. Magazyn Geoinformacyjny,Geodezja,,
Geodezja,Geodezja,,
Geografia w Szkole,Geografia,Pedagogika,
Geographia Polonica,Geografia,,
Geography and Tourism,Geografia,Tyrystyka,
Geological Quarterly,Geologia,,
Geologos,Geologia,,
Germanistische Werkstatt,Filologia,,
Gerontologia Polska,Geriatria,Medycyna,
Ginekologia Polska,Ginekologia,Medycyna,
Glaukopis,Historia i archiwistyka,,
Glosa,Administracja,Prawo,
Głos Pedagogiczny,Pedagogika,,
Gospodarka Narodowa,Gospodarka i planowanie,,
Gospodarka Wodna,Hydrologia,,
Guliwer,Bibliotekoznawstwo i informacja naukowa,Literaturoznawstwo,
Handel Wewnętrzny,Ekonomia,Finanse,
Harvard Business Review. Polska,Organizacja i zarządzanie,,
Health Problems of Civilization,Zdrowie i bezpieczeństwo publiczne,,
Heksis,Kulturoznawstwo,Sztuka,
Hemispheres. Studies on Cultures and Societies,Geografia,Kulturoznawstwo,
Herba Polonica,Botanika,Farmacja,
Hereditas Monasteriorum,Bibliotekoznawstwo i informacja naukowa,Kulturoznawstwo,Reliogioznawstwa i teologia
Heteroglossia. Studia Kulturoznawczo-Filologiczne,Językoznawstwo,Kulturoznawstwo,
Historia Academica,Historia i archiwistyka,Nauka,
Historia i Polityka,Historia i archiwistyka,Nauki polityczne,
Historia Slavorum Occidentis,Historia i archiwistyka,,
Historic@,Historia i archiwistyka,,
Historyka. Studia Metodologiczne,Historia i archiwistyka,,
Homo Dei,Reliogioznawstwa i teologia,,
Homo Ludens,Kulturoznawstwo,,
Horyzonty Polityki,Nauki polityczne,,
Horyzonty Psychologii,Psychologia,,
Horyzonty Wychowania,Pedagogika,,
Human Movement,Kultura fizyczna i sport,,
Humanistyka i Przyrodoznawstwo,Filozofia,Nauki przyrodnicze,
Humanizacja Pracy,Organizacja i zarządzanie,Praca,
Hybryda,Sztuka,,
Idea. Studia nad Strukturą i Rozwojem Pojęć Filozoficznych,Filozofia,,
Ikonotheka,Sztuka,,
Imponderabilia. Biuletyn Piłsudczykowski,Historia i archiwistyka,,
Informator Archeologiczny,Archeologia,,
Infos. Zagadnienia społeczno-gospodarcze,Administracja,Historia i archiwistyka,"Nauka, Prawo, Socjologia"
Infrastruktura i Ekologia Terenów Wiejskich,Ekologia,Geodezja,"Inżynieria sanitarna, Inżynieria środowiska, Ochrona środowiska, Rolnictwo"
Instytut Idei,Stosunki międzynarodowe,,
Intercultural Communication,Kulturoznawstwo,,
Interdisciplinary Studies in Musicology,Muzyka,,
Interdyscyplinarne Konteksty Pedagogiki Specjalnej,Pedagogika,,
Internal Security,Systemy bezpieczeństwa,Wojskowość i policja,
International Business and Global Economy,Ekonomia,,
International Journal of Applied Mathematics and Computer Science,Cybernetyka,Informatyka,Matematyka
International Journal of Occupational Safety and Ergonomics,BHP,,
"International Journal of Pedagogy, Innovation and New Technologies",Pedagogika,,
International Journal of Research in E-learning,Pedagogika,,
Internetowy Kwartalnik Antymonopolowy i Regulacyjny,Prawo,,
Investigationes Linguisticae,Językoznawstwo,,
Inżynieria Ekologiczna,Ekologia,Inżynieria,
Inżynieria i Aparatura Chemiczna,Chemia,Inżynieria,
Inżynieria i Ochrona Środowiska,Inżynieria,Ochrona środowiska,
Italica Wratislaviensia,Językoznawstwo,Literaturoznawstwo,
Ius et Administratio,Administracja,Prawo,
Ius et Lex,Kulturoznawstwo,Prawo,
Ius Matrimoniale,Prawo,Reliogioznawstwa i teologia,
Ius Novum,Prawo,,
Jednak Książki,Literaturoznawstwo,,
Język Polski,Językoznawstwo,,
"Język, Komunikacja, Informacja",Bibliotekoznawstwo i informacja naukowa,Językoznawstwo,
"Język, Szkoła, Religia",Filologia,Pedagogika,Reliogioznawstwa i teologia
Języki Obce w Szkole,Językoznawstwo,Pedagogika,
Journal of Animal and Feed Sciences,Zootechnika,,
Journal of Apicultural Science,Pszczelarstwo,,
Journal of Applied Genetics,Genetyka,,
Journal of Central European Agriculture,Rolnictwo,,
Journal of Corporate Responsibility and Leadership,Ekonomia,Organizacja i zarządzanie,
"Journal of Education, Culture and Society, The",Nauki humanistyczne,Nauki społeczne,
"Journal of Education, Health and Sport",Kultura fizyczna i sport,Pedagogika,Zdrowie i bezpieczeństwo publiczne
Journal of Elementology,Chemia,Medycyna,
"Journal of Entrepreneurship, Management and Innovation",Organizacja i zarządzanie,,
Journal of Gender and Power,Socjologia,,
Journal of Intercultural Management,Kulturoznawstwo,Organizacja i zarządzanie,
Journal of International Studies,Ekonomia,Finanse,"Organizacja i zarządzanie, Stosunki międzynarodowe"
"Journal of Juristic Papyrology, The",Archeologia,,
Journal of KONBiN,Wojskowość i policja,,
Journal of Kones,Lotnictwo,,
Journal of Machine Engineering,Budowa maszyn,,
Journal of Modern Science,Administracja,Organizacja i zarządzanie,Pedagogika
"Journal of Orthopaedics Trauma Surgery and Related Research, The",Medycyna,Ortopedia,
