Title1,Title2,DisciplinesString
International Journal of Computer Aided Engineering and Technology,,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Computer Information Systems and Industrial Management Applications,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;nauki o zarządzaniu i jakości
International Journal of Computer Networks and Communications,,informatyka;informatyka
International Journal of Computer Science and Applications,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka
International Journal of Computer Science in Sport,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki o kulturze fizycznej;informatyka
International Journal of Computers and Applications,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
International Journal of Computing,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna"
International Journal of Construction Education and Research,,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Construction Supply Chain Management,,"inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości"
International Journal of Contemporary Iraqi Studies,,nauki o kulturze i religii;nauki o zdrowiu;ekonomia i finanse;nauki o polityce i administracji
International Journal of Control and Automation,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna"
International Journal of Critical Computer-Based Systems,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Critical Cultural Studies,,historia;literaturoznawstwo;nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne
International Journal of Critical Illness and Injury Science,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
International Journal of Culture and Mental Health,,nauki o kulturze i religii;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
International Journal of Current Pharmaceutical Research,,nauki farmaceutyczne;nauki farmaceutyczne
"International Journal of Cyber Behavior, Psychology and Learning",,pedagogika;psychologia
International Journal of Dairy Science,,rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo
International Journal of Data Analysis Techniques and Strategies,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;ekonomia i finanse;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;informatyka;matematyka
International Journal of Database Theory and Application,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Design and Nature and Ecodynamics,,"architektura i urbanistyka;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki biologiczne"
International Journal of Design Education,,nauki o kulturze i religii;architektura i urbanistyka
International Journal of Design in Society,,nauki o kulturze i religii;architektura i urbanistyka;nauki socjologiczne
International Journal of Design Management and Professional Practice,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Design Sciences and Technology,,"architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Designed Objects,,nauki o kulturze i religii;architektura i urbanistyka
International Journal of Development and Conflict,,historia;nauki o zdrowiu;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
International Journal of Development Issues,,architektura i urbanistyka;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości
International Journal of Developmental Sciences,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne;psychologia;nauki biologiczne
International Journal of Digital Accounting Research,,informatyka techniczna i telekomunikacja;informatyka techniczna i telekomunikacja
International Journal of Disability Management,,nauki farmaceutyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki o zarządzaniu i jakości
International Journal of Diverse Identities,,nauki o kulturze i religii;nauki o zdrowiu;nauki socjologiczne
International Journal of Diversity in Education,,nauki o kulturze i religii;pedagogika
"International Journal of Diversity in Organisations, Communities and Nations",,nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne
International Journal of Doctoral Studies,,nauki socjologiczne;pedagogika
International Journal of Dream Research,,psychologia;psychologia
International Journal of Drug Delivery Technology,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne
International Journal of Dynamics and Control,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;nauki o bezpieczeństwie;matematyka;nauki fizyczne"
International Journal of Early Childhood,,nauki socjologiczne;pedagogika;psychologia
International Journal of Early Childhood Learning,,pedagogika;psychologia
International Journal of eBusiness and eGovernment Studies,,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
International Journal of Ecology,,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;nauki biologiczne"
International Journal of Economic Policy in Emerging Economies,,ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Economics and Business Research,,ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Economics and Management,,ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Education Economics and Development,,ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Educational Organization and Leadership,,nauki o zarządzaniu i jakości;pedagogika
International Journal of Electrical and Computer Engineering,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
International Journal of Electrical and Electronic Engineering and Telecommunications,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna"
International Journal of Electrical Engineering,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna"
International Journal of Electronic Business,,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości;informatyka
International Journal of Electronic Commerce Studies,,informatyka techniczna i telekomunikacja;informatyka
International Journal of Electronic Customer Relationship Management,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Electronic Finance,,informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Electronic Governance,,informatyka techniczna i telekomunikacja;nauki o polityce i administracji;nauki o zarządzaniu i jakości
International Journal of Electronic Healthcare,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
International Journal of Electronic Marketing and Retailing,,nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
International Journal of Electronics Letters,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa"
International Journal of Embedded and Real-Time Communication Systems,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Emergency Mental Health,,nauki medyczne;nauki o zdrowiu
International Journal of Energy Economics and Policy,,"inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;nauki chemiczne"
International Journal of Energy for a Clean Environment,,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki chemiczne"
International Journal of Energy Technology and Policy,,"inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki chemiczne"
"International Journal of Energy, Environment and Economics",,"architektura i urbanistyka;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;ekonomia i finanse;nauki biologiczne;nauki chemiczne;nauki o Ziemi i środowisku"
International Journal of Engineering and Technology(UAE),,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne"
International Journal of Engineering Research and Technology,,"architektura i urbanistyka;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki chemiczne"
International Journal of Enterprise Network Management,,informatyka techniczna i telekomunikacja;inżynieria mechaniczna;nauki o zarządzaniu i jakości
International Journal of Entrepreneurship,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Entrepreneurship and Innovation Management,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Entrepreneurship and Small Business,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Environment and Health,,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o Ziemi i środowisku"
International Journal of Environment and Waste Management,,"architektura i urbanistyka;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki o zarządzaniu i jakości;nauki chemiczne;nauki o Ziemi i środowisku"
"International Journal of Environment, Workplace and Employment",,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Environmental Sciences,,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o Ziemi i środowisku"
International Journal of Environmental Studies,,"architektura i urbanistyka;inżynieria materiałowa;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki biologiczne;nauki chemiczne;nauki o Ziemi i środowisku"
International Journal of Environmental Sustainability,,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;ekonomia i finanse;nauki biologiczne;nauki chemiczne;nauki o Ziemi i środowisku"
International Journal of Epilepsy,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
International Journal of E-Services and Mobile Applications,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
International Journal of Euro-Mediterranean Studies,,architektura i urbanistyka;ekonomia i finanse;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
"International Journal of Fashion Design, Technology and Education",,nauki o kulturze i religii;inżynieria materiałowa
International Journal of Fluid Machinery and Systems,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Food Science,,inżynieria mechaniczna;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo
International Journal of Food Studies,,nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo
International Journal of Foresight and Innovation Policy,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Forestry Research,,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
International Journal of Fuzzy System Applications,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka"
"International Journal of Gas Turbine, Propulsion and Power Systems",,"inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Geoinformatics,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;geografia społeczno-ekonomiczna i gospodarka przestrzenna;astronomia;nauki o Ziemi i środowisku"
International Journal of Global Environmental Issues,,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno-ekonomiczna i gospodarka przestrzenna"
International Journal of Globalisation and Small Business,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Green Economics,,ekonomia i finanse;ekonomia i finanse
International Journal of Green Pharmacy,,nauki farmaceutyczne;nauki o zdrowiu;weterynaria
International Journal of Health Science,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
International Journal of Hematologic Oncology,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
International Journal of Hematology-Oncology and Stem Cell Research,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
International Journal of High Dilution Research,,nauki o zdrowiu;nauki o zdrowiu
International Journal of High Performance Computing and Networking,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
International Journal of High Performance Systems Architecture,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
International Journal of High Risk Behaviors and Addiction,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia
International Journal of High Speed Electronics and Systems,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa"
International Journal of High-Rise Buildings,,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
International Journal of Hospitality and Tourism Systems,,architektura i urbanistyka;nauki o kulturze fizycznej;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości
International Journal of Human Factors and Ergonomics,,architektura i urbanistyka;inżynieria mechaniczna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości
International Journal of Human Resources Development and Management,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Humanities Education,,historia;nauki o kulturze i religii;pedagogika
International Journal of Hybrid Information Technology,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Hydrology Science and Technology,,"inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki chemiczne"
International Journal of Industrial and Systems Engineering,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki o zarządzaniu i jakości"
International Journal of Industrial Engineering and Management,,"automatyka, elektronika i elektrotechnika;inżynieria materiałowa;inżynieria mechaniczna;nauki o zarządzaniu i jakości"
International Journal of Industrial Engineering Computations,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Infertility and Fetal Medicine,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
International Journal of Information and Communication Technology,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
International Journal of Information and Computer Security,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;nauki o bezpieczeństwie;informatyka"
International Journal of Information and Decision Sciences,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;ekonomia i finanse;nauki o zarządzaniu i jakości;informatyka
International Journal of Information and Management Sciences,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;nauki o zarządzaniu i jakości"
International Journal of Information Quality,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
International Journal of Information Science and Management,,informatyka techniczna i telekomunikacja;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości;informatyka
International Journal of Information Systems and Change Management,,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości
International Journal of Information Technology and Management,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka"
International Journal of Innovation in Science and Mathematics Education,,nauki socjologiczne;pedagogika
"International Journal of Innovation, Creativity and Change",,nauki o kulturze i religii;architektura i urbanistyka;nauki o zarządzaniu i jakości;nauki socjologiczne
International Journal of Innovative Computing and Applications,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;informatyka"
International Journal of Integrated Supply Management,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Intellectual Property Management,,nauki o zarządzaniu i jakości;nauki prawne
International Journal of Intelligent Engineering and Systems,,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Intelligent Enterprise,,inżynieria mechaniczna;nauki o zarządzaniu i jakości
International Journal of Intelligent Information and Database Systems,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
International Journal of Intelligent Systems and Applications,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości;informatyka;matematyka"
International Journal of Intelligent Systems Technologies and Applications,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Interactive Mobile Technologies,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
International Journal of Interdisciplinary Civic and Political Studies,,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
International Journal of Interdisciplinary Cultural Studies,,literaturoznawstwo;nauki o kulturze i religii;nauki socjologiczne
International Journal of Interdisciplinary Educational Studies,,architektura i urbanistyka;nauki socjologiczne;pedagogika
International Journal of Interdisciplinary Environmental Studies,,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki leśne;rolnictwo i ogrodnictwo;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne;nauki biologiczne;nauki o Ziemi i środowisku"
International Journal of Interdisciplinary Global Studies,,nauki o zdrowiu;ekonomia i finanse;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki socjologiczne
International Journal of Interdisciplinary Organizational Studies,,ekonomia i finanse;nauki o zarządzaniu i jakości
International Journal of Interdisciplinary Social and Community Studies,,nauki o kulturze i religii;nauki o polityce i administracji;nauki socjologiczne
International Journal of Interdisciplinary Studies in Communication,,nauki o komunikacji społecznej i mediach;nauki socjologiczne
"International Journal of Interferon, Cytokine and Mediator Research",,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
International Journal of Internet Manufacturing and Services,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria materiałowa;inżynieria mechaniczna;nauki o zarządzaniu i jakości;informatyka"
International Journal of Internet Marketing and Advertising,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Internet Technology and Secured Transactions,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;informatyka
International Journal of Jungian Studies,,nauki o zdrowiu;psychologia
International Journal of Knowledge Management Studies,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;informatyka
"International Journal of Knowledge, Culture and Change Management",,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Language and Culture,,archeologia;filozofia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;inżynieria lądowa i transport;nauki o zdrowiu;nauki prawne;nauki socjologiczne
International Journal of Law in the Built Environment,,architektura i urbanistyka;rolnictwo i ogrodnictwo;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki prawne;prawo kanoniczne
International Journal of Learner Diversity and Identities,,nauki o kulturze i religii;nauki socjologiczne
International Journal of Learning,,nauki socjologiczne;pedagogika
International Journal of Learning and Change,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Learning and Intellectual Capital,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Learning in Higher Education,,pedagogika;pedagogika
International Journal of Life Sciences Biotechnology and Pharma Research,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
International Journal of Listening,,nauki o zdrowiu;nauki o komunikacji społecznej i mediach
International Journal of Literacies,,nauki socjologiczne;pedagogika
International Journal of Literary Humanities,,literaturoznawstwo;literaturoznawstwo
International Journal of Logistics Systems and Management,,informatyka techniczna i telekomunikacja;inżynieria lądowa i transport;inżynieria mechaniczna;nauki o bezpieczeństwie;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
International Journal of Low Radiation,,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki chemiczne
International Journal of Machine Learning and Computing,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;informatyka"
International Journal of Machining and Machinability of Materials,,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
International Journal of Management and Business Research,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Management and Decision Making,,informatyka techniczna i telekomunikacja;nauki o zarządzaniu i jakości
International Journal of Management and Enterprise Development,,inżynieria mechaniczna;nauki o zarządzaniu i jakości
International Journal of Management in Education,,nauki o zarządzaniu i jakości;pedagogika
International Journal of Management Practice,,nauki o zarządzaniu i jakości;nauki o zarządzaniu i jakości
International Journal of Manufacturing Research,,"inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Manufacturing Technology and Management,,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki o zarządzaniu i jakości
International Journal of Marketing Semiotics,,językoznawstwo;nauki o komunikacji społecznej i mediach;nauki o zarządzaniu i jakości
International Journal of Materials and Structural Integrity,,inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
International Journal of Materials Engineering Innovation,,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
International Journal of Mathematical Modelling and Numerical Optimisation,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;informatyka;matematyka"
"International Journal of Mathematical, Engineering and Management Sciences",,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o zarządzaniu i jakości;matematyka"
International Journal of Mathematics and Mathematical Sciences,,matematyka;matematyka
International Journal of Mathematics in Operational Research,,"informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;nauki o zarządzaniu i jakości;informatyka;matematyka"
International Journal of Mechanical and Mechatronics Engineering,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Mechanical and Production Engineering Research and Development,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Mechanical Engineering and Robotics Research,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna"
International Journal of Mechanical Engineering and Technology,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Mechanical Engineering Education,,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna
International Journal of Mechanics,,inżynieria biomedyczna;inżynieria mechaniczna;astronomia
International Journal of Mechanics and Control,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Mechatronics and Applied Mechanics,,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
International Journal of Mechatronics and Automation,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Mechatronics and Manufacturing Systems,,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Medical Engineering and Informatics,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
International Journal of Medical Toxicology and Legal Medicine,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
International Journal of Men's Health,,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
"International Journal of Metadata, Semantics and Ontologies",,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o komunikacji społecznej i mediach;informatyka
International Journal of Metrology and Quality Engineering,,"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki o bezpieczeństwie"
International Journal of Microbiology,,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria;nauki biologiczne
International Journal of Microsimulation,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;matematyka"
International Journal of Microstructure and Materials Properties,,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne;nauki fizyczne
International Journal of Microwave and Optical Technology,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria materiałowa;nauki fizyczne"
International Journal of Microwave Science and Technology,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria chemiczna;inżynieria mechaniczna;nauki fizyczne"
International Journal of Mineral Processing,,"inżynieria chemiczna;inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka"
International Journal of Mining and Mineral Engineering,,"inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
International Journal of Mobile Learning and Organisation,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości
International Journal of Mobile Network Design and Innovation,,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości
International Journal of Modelling and Simulation,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse"
International Journal of Modern Manufacturing Technologies,,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria materiałowa;inżynieria mechaniczna"
International Journal of Molecular Imaging,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
International Journal of Monetary Economics and Finance,,ekonomia i finanse;ekonomia i finanse
International Journal of MS Care,,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
